"Variable","Completeness_Percentage","Consistency","Outlier_Percentage","Min","Q1","Median","Mean","Q3","Max","SD","Mode"
"tuition_in",58,100,3.64,600,5688,11790,17237.6527219093,23186,69330,15644.1124562672,NA
"tuition_out",58,100,2.44,600,9492,15700,20548.4513274335,27816,69330,14660.8306145979,NA
"sat_avg",16.74,100,0.34,820,1076.75,1154,1177.20074349442,1256,1554,144.813376741127,NA
